MUL ID|Chassis|Model|Source|Combined|Tech Base|Unit Type|Movement Type|Weight|Intro Date|Prototype|Production|Common|Extinct|Omni|Role|BV|Cost|Rules|Engine Name|Internal Structure|Myomer|Cockpit Type|Gyro Type|Armor Types|Equipment|Tech Rating|Unit Quirks|Weapon Quirks|Manufacturer|Factory|Targeting|Comms|Armor|JJ|Engine|Chassis_1|Fluff Date|Capabilities|Overview|History|Deployment|Notes|File Location|File Modified
-1|Field Gun Platoon (FWLM)|(Wheeled LBX5 3060+)||Field Gun Platoon (FWLM) (Wheeled LBX5 3060+)|Inner Sphere|Infantry|Wheeled|51.0|3060|-|3060+|-|-|false|Sniper|323|2264384|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS No Armor,|InfantryAssaultRifle,ISLBXAC5,Free Worlds League Infantry Kit (3035+)|E/X-X-E-D|||--|--|--|--|--|--|--|--|2026-03-18 15:07:44|no|yes|no|no|Intro date based on common production date of LBX autocannon|data/mekfiles/infantry/FWLM/Field Gun Platoon (FWLM) (Wheeled LBX5 3060+).blk|2026-06-13
1723|Jump Platoon (FWLM)|(SRM 3035+)|TW,TM|Jump Platoon (FWLM) (SRM 3035+)|Inner Sphere|Infantry|Jump Infantry|3.0|3030|3030-3034|3035+|-|-|false|Ambusher|83|2352660|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS No Armor,|InfantryHeavySRM,Free Worlds League Infantry Kit (3035+)|D/X-E-D-C|||--|--|--|--|--|--|--|--|2026-03-18 15:07:44|no|yes|no|no|Intro date based on prototype release of FWL advanced infantry kit. Model name based on MUL name.|data/mekfiles/infantry/FWLM/Jump Platoon (FWLM) (SRM 3035+).blk|2026-06-13
2142|Mechanized Tracked Platoon (FWLM)|(Rifle 3035+)|TW,TM|Mechanized Tracked Platoon (FWLM) (Rifle 3035+)|Inner Sphere|Infantry|Tracked|28.0|3030|3030-3034|3035+|-|-|false|Ambusher|113|1766781|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS No Armor,|InfantryAssaultRifle,Free Worlds League Infantry Kit (3035+)|C/X-E-B-B|||--|--|--|--|--|--|--|--|2026-03-18 15:07:44|no|yes|no|no|Intro date based on prototype release of FWL advanced infantry kit. Model name based on MUL name.|data/mekfiles/infantry/FWLM/Mechanized Tracked Platoon (FWLM) (Rifle 3035+).blk|2026-06-13
1719|Jump Platoon (FWLM)|(Laser 3035+)|TW,TM|Jump Platoon (FWLM) (Laser 3035+)|Inner Sphere|Infantry|Jump Infantry|3.5|3030|3030-3034|3035+|-|-|false|Ambusher|99|3960721|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS No Armor,|Laser Rifle,Free Worlds League Infantry Kit (3035+)|D/X-E-B-B|||--|--|--|--|--|--|--|--|2026-03-18 15:07:44|no|yes|no|no|Intro date based on prototype release of FWL advanced infantry kit. Model name based on MUL name.|data/mekfiles/infantry/FWLM/Jump Platoon (FWLM) (Laser 3035+).blk|2026-06-13
-1|Mechanized Hover Platoon (FWLM)|(Gauss 3060+)||Mechanized Hover Platoon (FWLM) (Gauss 3060+)|Inner Sphere|Infantry|Hover|20.0|3060|-|3060+|-|-|false|Scout|105|4769975|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS No Armor,|Gauss Rifle, Light (David),Free Worlds League Infantry Kit (3035+)|E/X-X-E-D|||--|--|--|--|--|--|--|--|2026-03-18 15:07:44|no|yes|no|no|Intro date based on prototype release of infantry Light Gauss Rifle|data/mekfiles/infantry/FWLM/Mechanized Hover Platoon (FWLM) (Gauss 3060+).blk|2026-06-13
2235|Motorized Platoon (FWLM)|(Flamer 3035+)|TW,TM|Motorized Platoon (FWLM) (Flamer 3035+)|Inner Sphere|Infantry|Motorized Infantry|5.5|3030|3030-3034|3035+|-|-|false|Ambusher|103|910417|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS No Armor,|Flamer (Man-Portable),Free Worlds League Infantry Kit (3035+)|C/X-E-B-B|||--|--|--|--|--|--|--|--|2026-03-18 15:07:44|no|yes|no|no|Intro date based on prototype release of FWL advanced infantry kit. Model name based on MUL name.|data/mekfiles/infantry/FWLM/Motorized Platoon (FWLM) (Flamer 3035+).blk|2026-06-13
-1|Field Gun Platoon (FWLM)|(Tracked AC20 3035+)||Field Gun Platoon (FWLM) (Tracked AC20 3035+)|Inner Sphere|Infantry|Tracked|58.0|3030|3030-3034|3035+|-|-|false|Ambusher|373|2366781|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS No Armor,|InfantryAssaultRifle,Autocannon/20,Free Worlds League Infantry Kit (3035+)|C/X-E-D-D|||--|--|--|--|--|--|--|--|2026-03-18 15:07:44|no|yes|no|no|Intro date based on prototype release of FWL advanced infantry kit|data/mekfiles/infantry/FWLM/Field Gun Platoon (FWLM) (Tracked AC20 3035+).blk|2026-06-13
-1|Foot Platoon (FWLM)|(Sniper Detachment 2505+)||Foot Platoon (FWLM) (Sniper Detachment 2505+)|Inner Sphere|Infantry|Foot Infantry|0.5|2505|-|-|2505+|-|false|Ambusher|10|209219|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS No Armor,|Sniper Rifle (Hammel Marksman),Sneak Suit (Camo/IR)|D/D-D-D-D|||--|--|--|--|--|--|--|--|2026-03-18 15:07:44|no|yes|no|no|Hammel Marksman selected as representative weapon of decent but not overwhelming range. Intro date based on common availability for two-system stealth suit.|data/mekfiles/infantry/FWLM/Foot Platoon (FWLM) (Sniper Detachment 2505+).blk|2026-06-13
-1|Foot Platoon (FWLM)|(Laser Marine 2880+)||Foot Platoon (FWLM) (Laser Marine 2880+)|Inner Sphere|Infantry|Foot Infantry|2.5|2880|-|2880-2949|2950+|-|false|Ambusher|161|6520874|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS No Armor,|Laser Rifle (Intek),Environment Suit, Marine|D/X-D-D-D|||--|--|--|--|--|--|--|--|2026-03-18 15:07:44|no|yes|no|no|The Intek Laser Rifle is the standard laser long arm of the FWLM. Intro date based on production date of Intek Laser Rifle.|data/mekfiles/infantry/FWLM/Foot Platoon (FWLM) (Laser Marine 2880+).blk|2026-06-13
-1|Mechanized Wheeled Platoon (FWLM)|(Laser XCT 2880+)||Mechanized Wheeled Platoon (FWLM) (Laser XCT 2880+)|Inner Sphere|Infantry|Wheeled|24.0|2880|-|2880-2949|2950+|-|false|Ambusher|133|39267416|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS No Armor,|Laser Rifle (Intek),Environment Suit, Hostile|D/X-D-D-C|||--|--|--|--|--|--|--|--|2026-03-18 15:07:44|no|yes|no|no|The Intek Laser Rifle is the standard laser long arm of the FWLM. Intro date based on production date of Intek Laser Rifle.|data/mekfiles/infantry/FWLM/Mechanized Wheeled Platoon (FWLM) (Laser XCT 2880+).blk|2026-06-13
-1|Field Gun Platoon (FWLM)|(Tracked Light Gauss 3056+)||Field Gun Platoon (FWLM) (Tracked Light Gauss 3056+)|Inner Sphere|Infantry|Tracked|54.0|3056|3056-3064|3065+|-|-|false|Sniper|346|2316781|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS No Armor,|InfantryAssaultRifle,ISLightGaussRifle,Free Worlds League Infantry Kit (3035+)|E/X-X-E-D|||--|--|--|--|--|--|--|--|2026-03-18 15:07:44|no|yes|no|no|Intro date based FWL production date of Light Gauss Rifle|data/mekfiles/infantry/FWLM/Field Gun Platoon (FWLM) (Tracked Light Gauss 3056+).blk|2026-06-13
-1|Mechanized Tracked Platoon (FWLM)|(Rifle AA 3056+)||Mechanized Tracked Platoon (FWLM) (Rifle AA 3056+)|Inner Sphere|Infantry|Tracked|28.0|3056|-|3056+|-|-|false|Ambusher|126|4337867|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS No Armor,|AA Weapon (Mk. 2, Man-Portable),Free Worlds League Infantry Kit (3035+)|D/X-X-D-D|||--|--|--|--|--|--|--|--|2026-03-18 15:07:44|no|yes|no|no|Intro date based on re-introduction date of AA weapon|data/mekfiles/infantry/FWLM/Mechanized Tracked Platoon (FWLM) (Rifle AA 3056+).blk|2026-06-13
-1|Field Gun Platoon (FWLM)|(Wheeled AC10 3035+)||Field Gun Platoon (FWLM) (Wheeled AC10 3035+)|Inner Sphere|Infantry|Wheeled|50.0|3030|3030-3034|3035+|-|-|false|Ambusher|321|1914384|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS No Armor,|InfantryAssaultRifle,Autocannon/10,Free Worlds League Infantry Kit (3035+)|C/X-E-D-D|||--|--|--|--|--|--|--|--|2026-03-18 15:07:44|no|yes|no|no|Intro date based on prototype release of FWL advanced infantry kit|data/mekfiles/infantry/FWLM/Field Gun Platoon (FWLM) (Wheeled AC10 3035+).blk|2026-06-13
2133|Mechanized Hover Platoon (FWLM)|(Laser 3035+)|TW,TM|Mechanized Hover Platoon (FWLM) (Laser 3035+)|Inner Sphere|Infantry|Hover|20.0|3030|3030-3034|3035+|-|-|false|Striker|91|4642603|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS No Armor,|Laser Rifle,Free Worlds League Infantry Kit (3035+)|D/X-E-B-B|||--|--|--|--|--|--|--|--|2026-03-18 15:07:44|no|yes|no|no|Intro date based on prototype release of FWL advanced infantry kit. Model name based on MUL name.|data/mekfiles/infantry/FWLM/Mechanized Hover Platoon (FWLM) (Laser 3035+).blk|2026-06-13
-1|Field Gun Platoon (FWLM)|(Tracked UAC5 3040+)||Field Gun Platoon (FWLM) (Tracked UAC5 3040+)|Inner Sphere|Infantry|Tracked|58.0|3040|-|3040+|-|-|false|Sniper|359|2366781|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS No Armor,|InfantryAssaultRifle,ISUltraAC5,Free Worlds League Infantry Kit (3035+)|E/X-F-D-D|||--|--|--|--|--|--|--|--|2026-03-18 15:07:44|no|yes|no|no|Intro date based on production date of ultra-class autocannon|data/mekfiles/infantry/FWLM/Field Gun Platoon (FWLM) (Tracked UAC5 3040+).blk|2026-06-13
7090|Mechanized Tracked Platoon (FWLM)|(LRM 3035+)|TO:AUE|Mechanized Tracked Platoon (FWLM) (LRM 3035+)|Inner Sphere|Infantry|Tracked|28.0|3055|-|3055+|-|-|false|Ambusher|123|3598568|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS No Armor,|InfantryLRM,Free Worlds League Infantry Kit (3035+)|D/X-X-D-D|||--|--|--|--|--|--|--|--|2026-03-18 15:07:44|no|yes|no|no|Intro date based on prototype release of infantry LRM launcher. Model name date based on MUL name.|data/mekfiles/infantry/FWLM/Mechanized Tracked Platoon (FWLM) (LRM 3035+).blk|2026-06-13
2236|Motorized Platoon (FWLM)|(Laser 3035+)|TW,TM|Motorized Platoon (FWLM) (Laser 3035+)|Inner Sphere|Infantry|Motorized Infantry|5.5|3030|3030-3034|3035+|-|-|false|Ambusher|110|3249822|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS No Armor,|Laser Rifle,Free Worlds League Infantry Kit (3035+)|D/X-E-B-B|||--|--|--|--|--|--|--|--|2026-03-18 15:07:44|no|yes|no|no|Intro date based on prototype release of FWL advanced infantry kit. Model name based on MUL name.|data/mekfiles/infantry/FWLM/Motorized Platoon (FWLM) (Laser 3035+).blk|2026-06-13
1721|Jump Platoon (FWLM)|(MG 3035+)|TW,TM|Jump Platoon (FWLM) (MG 3035+)|Inner Sphere|Infantry|Jump Infantry|3.5|3030|3030-3034|3035+|-|-|false|Ambusher|93|1784201|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS No Armor,|Machine Gun (Portable),Free Worlds League Infantry Kit (3035+)|D/X-E-B-B|||--|--|--|--|--|--|--|--|2026-03-18 15:07:44|no|yes|no|no|Intro date based on prototype release of FWL advanced infantry kit. Model name based on MUL name.|data/mekfiles/infantry/FWLM/Jump Platoon (FWLM) (MG 3035+).blk|2026-06-13
-1|Motorized Platoon (FWLM)|(Gauss 3060+)||Motorized Platoon (FWLM) (Gauss 3060+)|Inner Sphere|Infantry|Motorized Infantry|5.5|3060|-|3060+|-|-|false|Ambusher|118|2637384|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS No Armor,|Gauss Rifle, Light (David),Free Worlds League Infantry Kit (3035+)|E/X-X-E-D|||--|--|--|--|--|--|--|--|2026-03-18 15:07:44|no|yes|no|no|Intro date based on prototype release of infantry Light Gauss Rifle|data/mekfiles/infantry/FWLM/Motorized Platoon (FWLM) (Gauss 3060+).blk|2026-06-13
7067|Mechanized Hover Platoon (FWLM)|(LRM 3035+)|TO:AUE|Mechanized Hover Platoon (FWLM) (LRM 3035+)|Inner Sphere|Infantry|Hover|20.0|3055|-|3055+|-|-|false|Scout|102|3093773|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS No Armor,|InfantryLRM,Free Worlds League Infantry Kit (3035+)|D/X-X-D-D|||--|--|--|--|--|--|--|--|2026-03-18 15:07:44|no|yes|no|no|Intro date based on prototype release of infantry LRM launcher. Model name date based on MUL name.|data/mekfiles/infantry/FWLM/Mechanized Hover Platoon (FWLM) (LRM 3035+).blk|2026-06-13
-1|Field Artillery Platoon (FWLM)|(Wheeled Sniper Cannon 3079+)||Field Artillery Platoon (FWLM) (Wheeled Sniper Cannon 3079+)|Inner Sphere|Infantry|Wheeled|40.0|3079|-|3079+|-|-|false|Missile Boat|125|1989384|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS No Armor,|Submachine Gun,ISSniperCannon,Free Worlds League Infantry Kit (3035+)|C/X-X-E-D|||--|--|--|--|--|--|--|--|2026-03-18 15:07:44|no|yes|no|no|Intro date based on production date of artillery cannons|data/mekfiles/infantry/FWLM/Field Artillery Platoon (FWLM) (Wheeled Sniper Cannon 3079+).blk|2026-06-13
2238|Motorized Platoon (FWLM)|(MG 3035+)|TW,TM|Motorized Platoon (FWLM) (MG 3035+)|Inner Sphere|Infantry|Motorized Infantry|5.5|3030|3030-3034|3035+|-|-|false|Ambusher|110|1463960|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS No Armor,|Machine Gun (Portable),Free Worlds League Infantry Kit (3035+)|C/X-E-B-B|||--|--|--|--|--|--|--|--|2026-03-18 15:07:44|no|yes|no|no|Intro date based on prototype release of FWL advanced infantry kit. Model name based on MUL name.|data/mekfiles/infantry/FWLM/Motorized Platoon (FWLM) (MG 3035+).blk|2026-06-13
-1|Field Gun Platoon (FWLM)|(Wheeled LBX2 3060+)||Field Gun Platoon (FWLM) (Wheeled LBX2 3060+)|Inner Sphere|Infantry|Wheeled|52.0|3060|-|3060+|-|-|false|Sniper|253|2114384|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS No Armor,|InfantryAssaultRifle,ISLBXAC2,Free Worlds League Infantry Kit (3035+)|E/X-X-E-D|||--|--|--|--|--|--|--|--|2026-03-18 15:07:44|no|yes|no|no|Intro date based on common production date of LBX autocannon|data/mekfiles/infantry/FWLM/Field Gun Platoon (FWLM) (Wheeled LBX2 3060+).blk|2026-06-13
-1|Field Gun Platoon (FWLM)|(Tracked AC5 3035+)||Field Gun Platoon (FWLM) (Tracked AC5 3035+)|Inner Sphere|Infantry|Tracked|55.0|3030|3030-3034|3035+|-|-|false|Sniper|267|2141781|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS No Armor,|InfantryAssaultRifle,Autocannon/5,Free Worlds League Infantry Kit (3035+)|C/X-E-D-D|||--|--|--|--|--|--|--|--|2026-03-18 15:07:44|no|yes|no|no|Intro date based on prototype release of FWL advanced infantry kit|data/mekfiles/infantry/FWLM/Field Gun Platoon (FWLM) (Tracked AC5 3035+).blk|2026-06-13
-1|Field Artillery Platoon (FWLM)|(Tracked Sniper 3035+)||Field Artillery Platoon (FWLM) (Tracked Sniper 3035+)|Inner Sphere|Infantry|Tracked|49.0|3035|-|3035+|-|-|false|Missile Boat|142|2066781|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS No Armor,|Submachine Gun,ISSniper,Free Worlds League Infantry Kit (3035+)|C/X-E-C-C|||--|--|--|--|--|--|--|--|2026-03-18 15:07:44|no|yes|no|no|Intro date based on prototype release of FWL advanced infantry kit|data/mekfiles/infantry/FWLM/Field Artillery Platoon (FWLM) (Tracked Sniper 3035+).blk|2026-06-13
2145|Mechanized Wheeled Platoon (FWLM)|(Laser 3035+)|TW,TM|Mechanized Wheeled Platoon (FWLM) (Laser 3035+)|Inner Sphere|Infantry|Wheeled|24.0|3030|3030-3034|3035+|-|-|false|Ambusher|106|5571124|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS No Armor,|Laser Rifle,Free Worlds League Infantry Kit (3035+)|D/X-E-B-B|||--|--|--|--|--|--|--|--|2026-03-18 15:07:44|no|yes|no|no|Intro date based on prototype release of FWL advanced infantry kit. Model name based on MUL name.|data/mekfiles/infantry/FWLM/Mechanized Wheeled Platoon (FWLM) (Laser 3035+).blk|2026-06-13
1144|Foot Platoon (FWLM)|(Laser 3035+)|TW,TM|Foot Platoon (FWLM) (Laser 3035+)|Inner Sphere|Infantry|Foot Infantry|2.5|3030|3030-3034|3035+|-|-|false|Ambusher|106|2031138|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS No Armor,|Laser Rifle,Free Worlds League Infantry Kit (3035+)|D/X-E-B-B|||--|--|--|--|--|--|--|--|2026-03-18 15:07:44|no|yes|no|no|Intro date based on prototype release of FWL advanced infantry kit. Model name based on MUL name.|data/mekfiles/infantry/FWLM/Foot Platoon (FWLM) (Laser 3035+).blk|2026-06-13
-1|Field Artillery Platoon (FWLM)|(Wheeled Thumper Cannon 3079+)||Field Artillery Platoon (FWLM) (Wheeled Thumper Cannon 3079+)|Inner Sphere|Infantry|Wheeled|35.0|3079|-|3079+|-|-|false|Missile Boat|103|1714384|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS No Armor,|Submachine Gun,ISThumperCannon,Free Worlds League Infantry Kit (3035+)|C/X-X-E-D|||--|--|--|--|--|--|--|--|2026-03-18 15:07:44|no|yes|no|no|Intro date based on production date of artillery cannons|data/mekfiles/infantry/FWLM/Field Artillery Platoon (FWLM) (Wheeled Thumper Cannon 3079+).blk|2026-06-13
-1|Field Gun Platoon (FWLM)|(Wheeled AC2 3035+)||Field Gun Platoon (FWLM) (Wheeled AC2 3035+)|Inner Sphere|Infantry|Wheeled|52.0|3030|3030-3034|3035+|-|-|false|Sniper|238|1814384|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS No Armor,|InfantryAssaultRifle,Autocannon/2,Free Worlds League Infantry Kit (3035+)|C/X-E-D-D|||--|--|--|--|--|--|--|--|2026-03-18 15:07:44|no|yes|no|no|Intro date based on prototype release of FWL advanced infantry kit|data/mekfiles/infantry/FWLM/Field Gun Platoon (FWLM) (Wheeled AC2 3035+).blk|2026-06-13
7027|Jump Platoon (FWLM)|(Rifle 3035+)||Jump Platoon (FWLM) (Rifle 3035+)|Inner Sphere|Infantry|Jump Infantry|3.5|3030|3030-3034|3035+|-|-|false|Ambusher|101|1076632|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS No Armor,|InfantryAssaultRifle,Free Worlds League Infantry Kit (3035+)|D/X-E-B-B|||--|--|--|--|--|--|--|--|2026-03-18 15:07:44|no|yes|no|no|Intro date based on prototype release of FWL advanced infantry kit. Model name based on MUL name.|data/mekfiles/infantry/FWLM/Jump Platoon (FWLM) (Rifle 3035+).blk|2026-06-13
7140|Motorized Platoon (FWLM)|(LRM 3035+)|TO:AUE|Motorized Platoon (FWLM) (LRM 3035+)|Inner Sphere|Infantry|Motorized Infantry|5.5|3055|-|3055+|-|-|false|Ambusher|116|1799284|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS No Armor,|InfantryLRM,Free Worlds League Infantry Kit (3035+)|D/X-X-D-D|||--|--|--|--|--|--|--|--|2026-03-18 15:07:44|no|yes|no|no|Intro date based on prototype release of infantry LRM launcher. Model name date based on MUL name.|data/mekfiles/infantry/FWLM/Motorized Platoon (FWLM) (LRM 3035+).blk|2026-06-13
-1|Field Artillery Platoon (FWLM)|(Tracked Thumper 3035+)||Field Artillery Platoon (FWLM) (Tracked Thumper 3035+)|Inner Sphere|Infantry|Tracked|44.0|3035|-|3035+|-|-|false|Missile Boat|116|1954281|3|None|Not Applicable|None|Not Applicable|Not Applicable|IS No Armor,|Submachine Gun,ISThumper,Free Worlds League Infantry Kit (3035+)|C/X-E-C-C|||--|--|--|--|--|--|--|--|2026-03-18 15:07:44|no|yes|no|no|Intro date based on prototype release of FWL advanced infantry kit|data/mekfiles/infantry/FWLM/Field Artillery Platoon (FWLM) (Tracked Thumper 3035+).blk|2026-06-13
