className,subCategory,name,internalName,infantryDamage,infantryRange,shots,bursts,crew,ammoType,tonnage,bv,cost,rulesRefs,techBase,techRating,isIntroYear,clanIntroYear
InfantryArchaicNunchakuWeapon,archaic,Staff (Nunchaku/Pole Arm),Staff (Nunchaku/Pole Arm),0.02,0,,,,NA,.00015,0.02,10,"272, TM",ALL,A,1950,1950
InfantryArchaicPolearmWeapon,archaic,Staff (Pole Arm) (Unofficial),Staff (Pole Arm) (Unofficial),0.04,0,,,,NA,.006,0.04,50,"272, TM",ALL,A,1950,1950
InfantryArchaicShockStaffWeapon,archaic,Staff (Shock Staff),Staff (Shock Staff),0.21,0,,,,NA,0.003,0.0,1500,"195, AToW-C",IS,E,3074,
InfantryArchaicDoubleStunStaffWeapon,archaic,"Staff (Stun Staff, Double-End)","Staff (Stun Staff, Double-End)",0.07,0,,,,NA,.003,0.06,500,"272, TM",ALL,C,2100,2100
InfantryArchaicSingleStunStaffWeapon,archaic,"Staff (Stun Staff, Single-End)","Staff (Stun Staff, Single-End)",0.07,0,,,,NA,.0003,0.06,300,"272, TM",ALL,C,2100,2100
InfantryArchaicStaffWeapon,archaic,Staff (Unofficial),Staff (Unofficial),0.04,0,,,,NA,.0025,0.04,5,"272, TM",ALL,A,1950,1950
InfantryArchaicStunstickWeapon,archaic,Stunstick,Stunstick,0.07,0,,,,NA,.0002,0.06,200,"272, TM",ALL,C,2100,2100
InfantryArchaicMiniStunstickWeapon,archaic,Stunstick (Mini),Stunstick (Mini),0.05,0,,,,NA,.00015,0.05,50,"272, TM",ALL,C,2100,2100
InfantryArchaicWhipWeapon,archaic,Whip,Whip,0.05,0,,,,NA,.00035,0.05,18,"195, AToW-C",ALL,A,1950,1950
InfantryArchaicMedusaWhipWeapon,archaic,Whip (Medusa),Whip (Medusa),0.16,0,,,,NA,.00045,0.15,2200,"272, TM",CLAN,E,,2820
InfantryArchaicMonowireWeapon,archaic,Whip (Monowire),Whip (Monowire),0.35,0,,,,NA,.00025,0.32,200,"272, TM",ALL,E,2100,2100
InfantryArchaicNeuralLashWeapon,archaic,Whip (Neural Lash),Whip (Neural Lash),0.09,0,,,,NA,.0001,0.08,750,"272, TM",ALL,D,2300,2300
InfantryArchaicNeuralWhipWeapon,archaic,Whip (Neural Whip),Whip (Neural Whip),0.09,0,,,,NA,.0003,0.08,500,"272, TM",ALL,D,2315,2315
InfantryGrenadeInfernoWeapon,grenade,Grenade (Inferno),InfantryGrenadeInferno,0.19,0,,,,NA,.0006,0.17,16,"272, TM",ALL,C,1950,1950
InfantryGrenadeMicroWeapon,grenade,Grenade (Micro),Grenade (Micro),0.16,0,,,,NA,.0002,0.15,2,"272, TM",ALL,C,1950,1950
InfantryGrenadeMiniInfernoWeapon,grenade,Grenade (Mini) (Inferno),InfantryMiniGrenadeInferno,0.11,0,,,,NA,.00045,0.10,8,"272, TM",ALL,C,1950,1950
InfantryGrenadeMiniWeapon,grenade,Grenade (Mini) (Non-Inferno),InfantryMiniGrenade,0.27,0,,,,NA,.00045,0.25,8,"272, TM",ALL,C,1950,1950
InfantryGrenadeStandardWeapon,grenade,Grenade (Non-Inferno),InfantryGrenade,0.48,0,,,,NA,.0006,0.44,16,"273, TM",ALL,C,1950,1950
InfantryGrenadeRAGWeapon,grenade,Grenade (Rocket-Assisted),Grenade (Rocket-Assisted),0.30,1,,,,NA,.0006,0.92,50,"273, TM",IS,C,3062,
InfantryLaserCarbineBrightStarL15,laser,Laser Carbine (BrightStar L-15),Laser Carbine (BrightStar L-15),0.44,4,3,1,,INFANTRY,0.0018,0.2625,2500,Shrapnel #9,CLAN,E,,
InfantryLaserSniperRifleDWSL5L,laser,Laser Sniper Rifle (DWS L5L),Laser Sniper Rifle (DWS L5L),0.61,5,15,1,,INFANTRY,0.0075,1.225,2500,Shrapnel #9,IS,D,,
InfantryLaserPistolAA75L,laser/pistol,Laser Pistol (AA-75L),Laser Pistol (AA-75L),0.07,1,1,1,,INFANTRY,0.0001,0.021,1500,Shrapnel #9,IS,D,,
InfantryLaserPistolAWAWilibyMk4LaserPistol,laser/pistol,Laser Pistol (AWA Wiliby MK4 LASER PISTOL),Laser Pistol (AWA Wiliby MK4 LASER PISTOL),0.09,1,1,1,,INFANTRY,0.0018,0.028,1500,Shrapnel #9,IS,D,,
InfantryLaserPistolBR25,laser/pistol,Laser Pistol (BR-25),Laser Pistol (BR-25),0.05,1,1,1,,INFANTRY,0.0013,0.01575,950,Shrapnel #9,IS,D,,
InfantryLaserPistolBrightStarL12,laser/pistol,Laser Pistol (BrightStar L-12),Laser Pistol (BrightStar L-12),0.19,2,2,1,,INFANTRY,0.0012,0.056,1100,Shrapnel #9,CLAN,E,,
InfantryLaserPistolBrightStarL15,laser/pistol,Laser Pistol (BrightStar L-15),Laser Pistol (BrightStar L-15),0.19,3,2,1,,INFANTRY,0.0014,0.056,1750,Shrapnel #9,CLAN,E,,
InfantryLaserPistolBrightStarL7,laser/pistol,Laser Pistol (BrightStar L-7),Laser Pistol (BrightStar L-7),0.07,2,1,1,,INFANTRY,0.0011,0.021,950,Shrapnel #9,IS,E,,
InfantryLaserPistolDarklightIVLaserPistol,laser/pistol,Laser Pistol (Darklight IV),Laser Pistol (Darklight IV),0.07,1,1,1,,INFANTRY,0.0012,0.021,1200,Shrapnel #9,IS,E,,
InfantryLaserPistolKelvin000Lancer3MM,laser/pistol,Laser Pistol (Kelvin 000 Lancer 3-MM),Laser Pistol (Kelvin 000 Lancer 3-MM),0.05,1,1,1,,INFANTRY,0.0016,0.01575,1250,Shrapnel #9,IS,D,,
InfantryLaserPistolXingShan,laser/pistol,Laser Pistol (Xing Shan),Laser Pistol (Xing Shan),0.19,1,2,1,,INFANTRY,0.0014,0.056,795,Shrapnel #9,IS,E,,
InfantryLaserPistolXingShanER,laser/pistol,Laser Pistol (Xīng Shan ER),Laser Pistol (Xīng Shan ER),0.35,3,3,1,,INFANTRY,0.0016,0.21,830,Shrapnel #9,IS,E,,
InfantryLaserRifleScorcherVIBlazerRifle,laser/rifle,Blazer Rifle (Scorcher VI),Blazer Rifle (Scorcher VI),0.53,4,10,1,,INFANTRY,0.0075,1.05,1500,Shrapnel #9,IS,D,,
InfantryLaserRifleDWSL5S,laser/rifle,Laser Rifle (DWS L5S),Laser Rifle (DWS L5S),0.44,4,5,1,,INFANTRY,0.0065,0.4375,2000,Shrapnel #9,IS,D,,
InfantryLaserRifleDarkLightCLLight,laser/rifle,Laser Rifle (Darklight-CL Light),Laser Rifle (Darklight-CL Light),0.42,3,10,1,,INFANTRY,0.0055,0.84,2400,Shrapnel #9,IS,E,,
InfantryLaserRifleSyrtisFirebolt12Repaired,laser/rifle,Laser Rifle (Syrtis Firebolt-12) (Repaired),Laser Rifle (Syrtis Firebolt-12) (Repaired),0.28,4,7,1,,INFANTRY,0.0067,0.196,2500,Shrapnel #9,IS,D,,
InfantryLaserRifleSyrtisFirebolt12Unrepaired,laser/rifle,Laser Rifle (Syrtis Firebolt-12) (Unrepaired),Laser Rifle (Syrtis Firebolt-12) (Unrepaired),0.53,5,5,1,,INFANTRY,0.0065,0.525,2200,Shrapnel #9,IS,D,,
InfantryLaserRifleWolfBaronSunraker,laser/rifle,Laser Rifle (Wolf-Barron Sunraker),Laser Rifle (Wolf-Barron Sunraker),0.61,4,10,1,,INFANTRY,0.0067,1.225,2500,Shrapnel #9,IS,D,,
InfantryLaserRifleYangLie,laser/rifle,Laser Rifle (Yang Lie),Laser Rifle (Yang Lie),0.53,4,5,1,,INFANTRY,0.0055,0.525,1275,Shrapnel #9,IS,E,,
InfantryPistolAutoPistolWeapon,pistol,Auto-Pistol,Auto-Pistol,0.21,0,10,,,INFANTRY,.0005,0.19,50,"273, TM",ALL,C,1950,1950
InfantryPistolHawkEagleAutoPistolWeapon,pistol,Auto-Pistol (Hawk Eagle),Auto-Pistol (Hawk Eagle),0.27,0,15,5,,INFANTRY,.0005,0.25,100,"273, TM",IS,C,3030,
InfantryPistolMauserAutoPistolWeapon,pistol,Auto-Pistol (M&G),Auto-Pistol (M&G),0.17,0,8,,,INFANTRY,.00065,0.16,60,"273, TM",IS,C,2490,
InfantryPistolMagnumAutoPistolWeapon,pistol,Auto-Pistol (Magnum),Auto-Pistol (Magnum),0.21,0,8,,,INFANTRY,.0005,0.19,75,"273, TM",ALL,C,1950,1950
InfantryPistolMydronAutoPistolWeapon,pistol,Auto-Pistol (Mydron),Auto-Pistol (Mydron),0.14,0,20,4,,INFANTRY,.0015,0.13,100,"273, TM",ALL,C,2607,2607
InfantryPistolNambuAutoPistolWeapon,pistol,Auto-Pistol (Nambu),Auto-Pistol (Nambu),0.21,0,12,,,INFANTRY,.00045,0.19,75,"273, TM",ALL,C,2535,2535
InfantryPistolAutoPistolNissanWeapon,pistol,Auto-Pistol (Nissan SG-12),Auto-Pistol (Nissan SG-12),0.17,1,8,,,INFANTRY,.0027,0.19,250,"176,HBHK",IS,C,2600,
InfantryPistolSerrekAutoPistolWeapon,pistol,Auto-Pistol (Serrek 7875D),Auto-Pistol (Serrek 7875D),0.16,0,16,,,INFANTRY,.0004,0.15,185,"273, TM",IS,C,2805,
InfantryPistolSternsnachtPythonAutoPistolWeapon,pistol,Auto-Pistol (Sternsnacht Python),Auto-Pistol (Sternsnacht Python),0.28,0,12,,,INFANTRY,.00075,0.26,125,"273, TM",IS,C,3048,
InfantryPistolStettaAutoPistolWeapon,pistol,Auto-Pistol (Stetta),Auto-Pistol (Stetta),0.17,0,100,10,,INFANTRY,.002,0.16,150,"273, TM",IS,D,3005,
InfantryPistolVintageWeapon,pistol,Auto-Pistol (Vintage),Auto-Pistol (Vintage),0.11,1,9,,,INFANTRY,.0005,0.0005,500,"195, AToW-C",ALL,C,,
InfantryPistolDartGunWeapon,pistol,Dart Gun,Dart Gun,0.01,0,1,,,INFANTRY,.00065,0.01,40,"273, TM",ALL,C,1950,1950
InfantryPistolFlarePistolWeapon,pistol,Flare Pistol,Flare Pistol,0.09,0,5,,,INFANTRY,.0004,0.08,25,"273, TM",ALL,C,1950,1950
InfantryPistolMandrakeGaussPistolWeapon,pistol,Gauss Pistol (Mandrake Hold-Out),Gauss Pistol (Mandrake Hold-Out),0.02,0,1,,,INFANTRY,.0001,0.02,750,"273, TM",IS,E,3050,
InfantryPistolClanGaussPistolWeapon,pistol,Gauss Pistol [Clan],Gauss Pistol [Clan],0.14,0,4,,,INFANTRY,.001,0.13,1500,"273, TM",CLAN,F,,2845
InfantryPistolGyrojetPistolWeapon,pistol,Gyrojet Pistol,Gyrojet Pistol,0.04,0,2,,,INFANTRY,.0025,0.04,450,"273, TM",ALL,D,2620,2620
InfantryPistolCoventryHandrocketGyrojetPistolWeapon,pistol,Gyrojet Pistol (Coventry Handrocket),Gyrojet Pistol (Coventry Handrocket),0.14,1,5,,,INFANTRY,.0031,0.43,250,"273, TM",IS,D,3050,
InfantryPistolHoldOutGyroJetPistolWeapon,pistol,Gyrojet Pistol (Hold-Out),Gyrojet Pistol (Hold-Out),0.04,0,2,,,INFANTRY,.00005,0.04,30,"273, TM",ALL,D,2100,2100
InfantryPistolLaserPistolWeapon,pistol,Laser Pistol,Laser Pistol,0.21,1,16,,,INFANTRY,.001,0.64,750,"273, TM",ALL,D,2100,2100
InfantryPistolBlazerPistolWeapon,pistol,Laser Pistol (Blazer),Laser Pistol (Blazer),0.26,1,8,,,INFANTRY,.002,0.79,3000,"273, TM",IS,D,2100,
InfantryPistolClanERLaserPistolWeapon,pistol,Laser Pistol (ER),Laser Pistol (ER),0.21,1,10,,,INFANTRY,.001,0.61,1000,"273, TM",CLAN,F,,2833
InfantryPistolWhiteDwarfLaserPistolWeapon,pistol,Laser Pistol (Hold-Out [White Dwarf]),Laser Pistol (Hold-Out [White Dwarf]),0.02,0,,,,NA,.00025,0.02,250,"273, TM",IS,D,3056,
InfantryPistolHoldOutLaserPistolWeapon,pistol,Laser Pistol (Hold-Out),Laser Pistol (Hold-Out),0.14,0,6,,,INFANTRY,.00005,0.13,100,"273, TM",ALL,D,2318,2318
InfantryPistolNakjimaLaserPistolWeapon,pistol,Laser Pistol (Nakjima),Laser Pistol (Nakjima),0.18,1,30,,,INFANTRY,.001,0.55,750,"273, TM",IS,D,2875,
InfantryPistolSunbeamNovaLaserPistolWeapon,pistol,Laser Pistol (Sunbeam Nova),Laser Pistol (Sunbeam Nova),0.26,0,3,,,INFANTRY,.0015,0.24,1250,"273, TM",IS,D,3050,
InfantryPistolSunbeamLaserPistolWeapon,pistol,Laser Pistol (Sunbeam),Laser Pistol (Sunbeam),0.28,1,7,,,INFANTRY,.001,0.86,750,"273, TM",IS,D,3015,
InfantryPistolSMGGHTSpec7aWeapon,pistol,Machine Pistol (H-T Spec-7a),Machine Pistol (H-T Spec-7a),0.13,0,7,1,,INFANTRY,.0012,0.23,190,"176,HBHK",IS,D,,
InfantryPistolMartialEagleMachinePistolWeapon,pistol,Machine Pistol (Martial Eagle),Machine Pistol (Martial Eagle),0.25,0,30,3,,INFANTRY,.001,0.23,180,"273, TM",IS,D,3040,
InfantryPistolNeedlerPistolWeapon,pistol,Needler Pistol,Needler Pistol,0.23,0,10,,,INFANTRY,.0003,0.21,50,"273, TM",ALL,D,1950,1950
InfantryPistolHoldOutNeedlerPistolWeapon,pistol,Needler Pistol (Hold-Out),Needler Pistol (Hold-Out),0.11,0,5,,,INFANTRY,.00005,0.10,20,"273, TM",ALL,D,2510,2510
InfantryPistolMauserNeedlerPistolWeapon,pistol,Needler Pistol (M&G Flechette),Needler Pistol (M&G Flechette),0.11,0,15,3,,INFANTRY,.0005,0.10,100,"273, TM",ALL,D,2350,2350
InfantryPistolSeaEagleNeedlerPistolWeapon,pistol,Needler Pistol (Sea Eagle),Needler Pistol (Sea Eagle),0.11,0,10,2,,INFANTRY,.00035,0.10,110,"273, TM",IS,D,3030,
InfantryPistolPaintGunPistolWeapon,pistol,Paint Gun (LGB-46R),Paint Gun (LGB-46R),0.0,0,15,,,INFANTRY,.0018,0,50,"273, TM",ALL,C,1950,1950
InfantryPistolAAGemini,pistol,Pistol (AA Gemini),Pistol (AA Gemini),0.35,1,8,2,,INFANTRY,0.0015,0.28,400,Shrapnel #3,IS,D,,
InfantryPistolAlamo17,pistol,Pistol (Alamo-17),Pistol (Alamo-17),0.28,1,18,1,,INFANTRY,0.001,0.28,250,Shrapnel #3,IS,C,,
InfantryPistolCamdenHR7,pistol,Pistol (Camden HR-7),Pistol (Camden HR-7),0.44,1,5,1,,INFANTRY,0.0025,0.44,650,Shrapnel #3,IS,C,,
InfantryPistolDreamelDerringer,pistol,Pistol (Dreamel J-4 Derringer),Pistol (Dreamel J-4 Derringer),0.14,0,2,1,,INFANTRY,0.0002,0.042,60,Shrapnel #3,IS,C,,
InfantryPistolFlamerPistolWeapon,pistol,Pistol (Flamer),Pistol (Flamer),0.34,0,10,,,INFANTRY,.0012,0.31,50,"273, TM",ALL,C,2100,2100
InfantryPistolHCKP14,pistol,Pistol (HCK P-14),Pistol (HCK P-14),0.07,0,8,1,,INFANTRY,0.0012,0.056,130,Shrapnel #3,IS,C,,
InfantryPistolHoldOutPistolWeapon,pistol,Pistol (Hold-Out),Pistol (Hold-Out),0.03,0,2,,,INFANTRY,.0002,0.03,20,"273, TM",ALL,D,1950,1950
InfantryPistolLemisonCombatRevolver,pistol,Pistol (Lemison Combat Revolver),Pistol (Lemison Combat Revolver),0.35,0,8,1,,INFANTRY,0.0016,0.28,120,Shrapnel #3,IS,C,,
InfantryPistolMPH45,pistol,Pistol (MPH-45),Pistol (MPH-45),0.35,1,10,1,,INFANTRY,0.001,0.7,500,Shrapnel #3,IS,D,,
InfantryPistolMakeshiftPistolWeapon,pistol,Pistol (Makeshift),Pistol (Makeshift),0.02,0,1,,,INFANTRY,.001,0.02,15,"273, TM",ALL,B,1950,1950
InfantryPistolMomoDeBaoyingSpecial,pistol,Pistol (Momo De Baoying (Special)),Pistol (Momo De Baoying (Special)),0.53,1,10,1,,INFANTRY,0.0011,1.05,275,Shrapnel #3,IS,D,,
InfantryPistolMomoDeBaoyingStandard,pistol,Pistol (Momo De Baoying (Standard)),Pistol (Momo De Baoying (Standard)),0.42,1,10,1,,INFANTRY,0.0011,.42,275,Shrapnel #3,IS,D,,
InfantryPistolNambu380,pistol,Pistol (Nambu 380),Pistol (Nambu 380),0.21,1,18,1,,INFANTRY,0.00095,0.21,350,Shrapnel #3,IS,C,,
InfantryPistolNambu480,pistol,Pistol (Nambu 480),Pistol (Nambu 480),0.21,1,14,1,,INFANTRY,0.0008,0.21,350,Shrapnel #3,IS,C,,
InfantryPistolRFWGalahad,pistol,Pistol (RFW Galahad),Pistol (RFW Galahad),0.32,1,10,1,,INFANTRY,0.0021,0.315,200,Shrapnel #3,IS,D,,
InfantryPistolSerrek7994SF,pistol,Pistol (Serrek 7994 SF),Pistol (Serrek 7994 SF),0.2,1,20,3,,INFANTRY,0.0011,.202,400,Shrapnel #3,IS,C,,
InfantryPistolSerrek7994,pistol,Pistol (Serrek 7994),Pistol (Serrek 7994),0.2,1,20,3,,INFANTRY,0.0009,0.202,300,Shrapnel #3,IS,C,,
InfantryPistolSpitballGasPistolWeapon,pistol,Pistol (Spitball Gas Weapon),Pistol (Spitball Gas Weapon),0.0,0,25,,,INFANTRY,.001,0,6,"273, TM",IS,C,3056,
InfantryPistolSternsnachtPistolWeapon,pistol,Pistol (Sternsnacht Heavy [Claymore]),Pistol (Sternsnacht Heavy [Claymore]),0.09,0,3,,,INFANTRY,.0025,0.08,200,"273, TM",IS,C,2882,
InfantryPistolSturmEagleMK4M,pistol,Pistol (Sturm Eagle Mk4M),Pistol (Sturm Eagle Mk4M),0.28,0,12,1,,INFANTRY,0.0012,.28,120,Shrapnel #3,IS,C,,
InfantryPistolSturmEagleMK4P,pistol,Pistol (Sturm Eagle Mk4P),Pistol (Sturm Eagle Mk4P),0.28,0,12,1,,INFANTRY,0.0013,.28,145,Shrapnel #3,IS,C,,
InfantryPistolTKEnforcerAutoPistolWeapon,pistol,Pistol (TK Enforcer Semi-Auto),Pistol (TK Enforcer Semi-Auto),0.20,0,20,5,,INFANTRY,.0016,0.18,110,"273, TM",IS,C,3055,
InfantryPistolType74DPistol,pistol,Pistol (Type 74D Pistol),Pistol (Type 74D Pistol),0.28,0,11,1,,INFANTRY,0.0007,.28,140,Shrapnel #3,IS,D,,
InfantryPistolType74PPistol,pistol,Pistol (Type 74P Pistol),Pistol (Type 74P Pistol),0.28,1,14,1,,INFANTRY,0.0008,.28,150,Shrapnel #3,IS,D,,
InfantryPistolWhisper4Standard,pistol,Pistol (Whisper-4 (Standard Rounds)),Pistol (Whisper-4 (Standard Rounds)),0.35,1,6,1,,INFANTRY,0.0012,.42,650,Shrapnel #3,IS,D,,
InfantryPistolWhisper4Subsonic,pistol,Pistol (Whisper-4 (Sub-Sonic)),Pistol (Whisper-4 (Sub-Sonic)),0.16,0,6,1,,INFANTRY,0.0012,.0945,650,Shrapnel #3,IS,D,,
InfantryPistolWolfM30,pistol,Pistol (Wolf M30),Pistol (Wolf M30),0.35,0,17,1,,INFANTRY,0.00095,.35,250,Shrapnel #3,IS,C,,
InfantryPistolYaNjingshe,pistol,Pistol (Ya Njingshe),Pistol (Ya Njingshe),0.35,1,15,1,,INFANTRY,0.001,.35,300,Shrapnel #3,IS,D,,
InfantryPistolISPulseLaserPistolWeapon,pistol,Pulse Laser Pistol (IS),Pulse Laser Pistol (IS),0.14,0,15,3,,INFANTRY,.001,0.13,1000,"273, TM",ALL,D,,
InfantryPistolClanPulseLaserPistolWeapon,pistol,Pulse Laser Pistol [Clan],Pulse Laser Pistol [Clan],0.20,1,10,2,,INFANTRY,.001,0.61,1500,"273, TM",CLAN,F,,2835
InfantryPistolRevolverWeapon,pistol,Revolver,Revolver,0.17,0,6,,,INFANTRY,.0005,0.16,60,"273, TM",ALL,B,1950,1950
InfantryPistolMagnumRevolverWeapon,pistol,Revolver (Magnum),Revolver (Magnum),0.18,0,5,,,INFANTRY,.0005,0.17,60,"273, TM",ALL,C,1950,1950
InfantryPistolSonicStunnerWeapon,pistol,Sonic Stunner,Sonic Stunner,0.07,0,30,,,INFANTRY,.0006,0.06,100,"273, TM",ALL,D,2365,2365
InfantryPistolTranqGunWeapon,pistol,Tranq Gun,Tranq Gun,0.14,0,30,,,INFANTRY,.0015,0.13,30,"273, TM",ALL,A,1950,1950
InfantryProstheticBallisticWeapon,prosthetic,Prosthetic Ballistic,Prosthetic Ballistic,0.01,0,,,,NA,,0.0,500,"78, IO:AE",ALL,E,,
InfantryProstheticBladeWeapon,prosthetic,Prosthetic Blade,Prosthetic Blade,0.02,0,,,,NA,,0.0,400,"78, IO:AE",ALL,E,,
InfantryProstheticClimbingClawsWeapon,prosthetic,Prosthetic Climbing Claws,Prosthetic Climbing Claws,0.02,0,,,,NA,,0.02,1000,"78, IO:AE",ALL,E,,
InfantryProstheticDartGunWeapon,prosthetic,Prosthetic Dart Gun,Prosthetic Dart Gun,0.0,0,,,,NA,,0.0,750,"78, IO:AE",ALL,E,,
InfantryProstheticLaserWeapon,prosthetic,Prosthetic Laser,Prosthetic Laser,0.11,0,,,,NA,,0.0,1000,"78, IO:AE",ALL,E,,
InfantryProstheticNeedleWeapon,prosthetic,Prosthetic Needle,Prosthetic Needle,0.0,0,,,,NA,,0.0,500,"78, IO:AE",ALL,E,,
InfantryProstheticNeedlerWeapon,prosthetic,Prosthetic Needler,Prosthetic Needler,0.04,0,,,,NA,,0.0,650,"78, IO:AE",ALL,E,2510,2510
InfantryProstheticRumalGarroteWeapon,prosthetic,Prosthetic Rumal/Garrote,Prosthetic Rumal/Garrote,0.14,0,,,,NA,,0.0,500,"84, IO",ALL,E,,
