className,javaPackage,category,name,internalName,sortingName,heat,damage,rackSize,minimumRange,shortRange,mediumRange,longRange,extremeRange,waterShortRange,waterMediumRange,waterLongRange,waterExtremeRange,tonnage,criticalSlots,bv,cost,shortAV,medAV,longAV,extAV,maxRange,explosionDamage,rulesRefs,techBase,techRating,isIntroYear,clanIntroYear
CLLB2XAC,megamek.common.weapons.autoCannons.clan,autoCannons,LB 2-X AC,CLLBXAC2,LB 02-X AC,1,2,2,4,10,20,30,40,,,,,5.0,3,47.0,150000,,,,,Extreme,,"207, TM",CLAN,F,,2824
ISLB2XAC,megamek.common.weapons.autoCannons.innerSphere,autoCannons,LB 2-X AC,ISLBXAC2,LB 02-X AC,1,2,2,4,9,18,27,36,,,,,6.0,4,42,150000,,,,,Extreme,,"207, TM",IS,E,3055,
CLLB20XAC,megamek.common.weapons.autoCannons.clan,autoCannons,LB 20-X AC,CLLBXAC20,,6,20,20,,4,8,12,16,,,,,12.0,9,237.0,600000,,,,,Medium,,"207, TM",CLAN,F,,2824
ISLB20XAC,megamek.common.weapons.autoCannons.innerSphere,autoCannons,LB 20-X AC,ISLBXAC20,,6,20,20,,4,8,12,16,,,,,14.0,11,237,600000,,,,,Medium,,"207, TM",IS,E,3055,
CLLB5XAC,megamek.common.weapons.autoCannons.clan,autoCannons,LB 5-X AC,CLLBXAC5,LB 05-X AC,1,5,5,3,8,15,24,30,,,,,7.0,4,93.0,250000,,,,,Long,,"207, TM",CLAN,F,,2824
ISLB5XAC,megamek.common.weapons.autoCannons.innerSphere,autoCannons,LB 5-X AC,ISLBXAC5,LB 05-X AC,1,5,5,3,7,14,21,28,,,,,8.0,5,83,250000,,,,,Long,,"207, TM",IS,E,3055,
ISLAC2,megamek.common.weapons.autoCannons.innerSphere,autoCannons,Light AC/2,Light Auto Cannon/2,,1,2,2,,6,12,18,24,,,,,4.0,1,30,100000,2,2,,,Medium,,"207, TM",IS,D,3062,
ISLAC5,megamek.common.weapons.autoCannons.innerSphere,autoCannons,Light AC/5,Light Auto Cannon/5,,1,5,5,,5,10,15,20,,,,,5.0,2,62,150000,5,5,,,Medium,,"207, TM",IS,D,3062,
ISNailAndRivetGun,megamek.common.weapons.autoCannons.innerSphere,autoCannons,Nail/Rivet Gun,,,,,,,,,,,,,,,,,,,,,,,,,"246, TM",ALL,C,2309,2309
CLProtoMekAC2,megamek.common.weapons.autoCannons.clan,autoCannons,ProtoMech AC/2,CLProtoMechAC2,,1,2,2,0,7,14,20,30,,,,,3.5,2,34.0,95000,2,2,2,,Long,,"98, TO:AUE",CLAN,F,,
CLProtoMekAC4,megamek.common.weapons.autoCannons.clan,autoCannons,ProtoMech AC/4,CLProtoMechAC4,,1,4,4,0,5,10,15,20,,,,,4.5,3,49.0,133000,4,4,4,,Medium,,"98, TO:AUE",CLAN,F,,
CLProtoMekAC8,megamek.common.weapons.autoCannons.clan,autoCannons,ProtoMech AC/8,CLProtoMechAC8,,2,8,8,0,3,7,10,15,,,,,5.5,4,66.0,175000,8,8,8,,Short,,"98, TO:AUE",CLAN,F,,
ISRifleHeavy,megamek.common.weapons.autoCannons.innerSphere,autoCannons,"Rifle (Cannon, Heavy)",,Rifle Cannon D,4,9,9,2,6,12,18,27,,,,,8.0,3,91,90000,9,9,9,9,Medium,0,"150, TO:AUE",IS,B,,
ISRifleLight,megamek.common.weapons.autoCannons.innerSphere,autoCannons,"Rifle (Cannon, Light)",,Rifle Cannon B,1,3,3,0,4,8,12,18,,,,,3.0,1,21,37750,3,3,3,3,Medium,0,"150, TO:AUE",IS,B,,
ISRifleMedium,megamek.common.weapons.autoCannons.innerSphere,autoCannons,"Rifle (Cannon, Medium)",,Rifle Cannon C,2,6,6,1,5,10,15,22,,,,,5.0,2,51,75750,6,6,6,6,Medium,0,"150, TO:AUE",IS,B,,
CLRAC2,megamek.common.weapons.autoCannons.clan,autoCannons,Rotary AC/2,CLRotaryAC2,,1,2,2,0,8,17,25,37,,,,,8.0,4,161.0,175000,8,8,8,8,Extreme,,"98, TO:AUE",CLAN,F,,3073
ISRAC2,megamek.common.weapons.autoCannons.innerSphere,autoCannons,Rotary AC/2,ISRotaryAC2,,1,2,2,,6,12,18,24,,,,,8.0,3,118,175000,8,8,,,Medium,,"207, TM",IS,E,3060,
CLRAC5,megamek.common.weapons.autoCannons.clan,autoCannons,Rotary AC/5,CLRotaryAC5,,1,5,5,,7,14,21,28,,,,,10.0,8,345.0,275000,20,20,20,,Long,,"98, TO:AUE",CLAN,F,,3073
ISRAC5,megamek.common.weapons.autoCannons.innerSphere,autoCannons,Rotary AC/5,ISRotaryAC5,,1,5,5,,5,10,15,20,,,,,10.0,6,247,275000,20,20,,,Medium,,"207, TM",IS,E,3060,
CLUAC10,megamek.common.weapons.autoCannons.clan,autoCannons,Ultra AC/10,CLUltraAC10,,3,10,10,,6,12,18,24,,,,,10.0,4,210.0,320000,15,15,,,Medium,,"208, TM",CLAN,F,,2825
ISUAC10,megamek.common.weapons.autoCannons.innerSphere,autoCannons,Ultra AC/10,ISUltraAC10,,4,10,10,,6,12,18,24,,,,,13.0,7,210,320000,15,15,,,Medium,,"208, TM",IS,E,3055,
CLUAC2,megamek.common.weapons.autoCannons.clan,autoCannons,Ultra AC/2,CLUltraAC2,Ultra AC/02,1,2,2,2,9,18,27,36,,,,,5.0,2,62.0,120000,3,3,3,3,Extreme,,"208, TM",CLAN,F,,2825
ISUAC2,megamek.common.weapons.autoCannons.innerSphere,autoCannons,Ultra AC/2,ISUltraAC2,Ultra AC/02,1,2,2,3,8,17,25,37,,,,,7.0,3,56,120000,3,3,3,3,Extreme,,"208, TM",IS,E,3055,
CLUAC20,megamek.common.weapons.autoCannons.clan,autoCannons,Ultra AC/20,CLUltraAC20,,7,20,20,,4,8,12,16,,,,,12.0,8,335.0,480000,30,30,,,Medium,,"208, TM",CLAN,F,,2825
ISUAC20,megamek.common.weapons.autoCannons.innerSphere,autoCannons,Ultra AC/20,ISUltraAC20,,8,20,20,,3,7,10,15,,,,,15.0,10,281,480000,30,30,,,Medium,,"208, TM",IS,E,3057,
CLUAC5,megamek.common.weapons.autoCannons.clan,autoCannons,Ultra AC/5,CLUltraAC5,Ultra AC/05,1,5,5,0,7,14,21,28,,,,,7.0,3,122.0,200000,7,7,7,,Long,,"208, TM",CLAN,F,,2825
ISUAC5,megamek.common.weapons.autoCannons.innerSphere,autoCannons,Ultra AC/5,ISUltraAC5,Ultra AC/05,1,5,5,2,6,13,20,30,,,,,9.0,5,112,200000,7,7,7,,Long,,"208, TM",IS,E,2635,
CLAdvancedSRM1,megamek.common.weapons.battleArmor.clan.advancedSRM,battleArmor,Advanced SRM 1,CLAdvancedSRM1,,,,1,,4,8,12,16,,,,,.06,2,15,15000,,,,,,,"261, TM",CLAN,F,,3052
CLAdvancedSRM1OS,megamek.common.weapons.battleArmor.clan.advancedSRM,battleArmor,Advanced SRM 1 (OS),CLAdvancedSRM1OS,,,,1,,4,8,12,16,,,,,0.035,3,3,7500,,,,,,,"261, TM",CLAN,F,,3052
CLAdvancedSRM2,megamek.common.weapons.battleArmor.clan.advancedSRM,battleArmor,Advanced SRM 2,CLAdvancedSRM2,,,,2,,4,8,12,16,,,,,.09,2,30,30000,,,,,,,"261, TM",CLAN,F,,3052
CLAdvancedSRM2OS,megamek.common.weapons.battleArmor.clan.advancedSRM,battleArmor,Advanced SRM 2 (OS),CLAdvancedSRM2OS,,,,2,,4,8,12,16,,,,,.07,3,6,15000,,,,,,,"261, TM",CLAN,F,,3052
CLAdvancedSRM3,megamek.common.weapons.battleArmor.clan.advancedSRM,battleArmor,Advanced SRM 3,CLAdvancedSRM3,,,,3,,4,8,12,16,,,,,.12,3,45,45000,,,,,,,"261, TM",CLAN,F,,3052
CLAdvancedSRM3OS,megamek.common.weapons.battleArmor.clan.advancedSRM,battleArmor,Advanced SRM 3 (OS),CLAdvancedSRM3OS,,,,3,,4,8,12,16,,,,,.105,4,9,22500,,,,,,,"261, TM",CLAN,F,,3052
CLAdvancedSRM4,megamek.common.weapons.battleArmor.clan.advancedSRM,battleArmor,Advanced SRM 4,CLAdvancedSRM4,,,,4,,4,8,12,16,,,,,0.15,3,60,60000,,,,,,,"261, TM",CLAN,F,,3052
CLAdvancedSRM4OS,megamek.common.weapons.battleArmor.clan.advancedSRM,battleArmor,Advanced SRM 4 (OS),CLAdvancedSRM4OS,,,,4,,4,8,12,16,,,,,0.135,4,12,30000,,,,,,,"261, TM",CLAN,F,,3052
CLAdvancedSRM5,megamek.common.weapons.battleArmor.clan.advancedSRM,battleArmor,Advanced SRM 5,CLAdvancedSRM5,,,,5,,4,8,12,16,,,,,0.18,4,75,75000,,,,,,,"261, TM",CLAN,F,,3052
CLAdvancedSRM5OS,megamek.common.weapons.battleArmor.clan.advancedSRM,battleArmor,Advanced SRM 5 (OS),CLAdvancedSRM5OS,,,,5,,4,8,12,16,,,,,0.165,5,15,37500,,,,,,,"261, TM",CLAN,F,,3052
CLAdvancedSRM6,megamek.common.weapons.battleArmor.clan.advancedSRM,battleArmor,Advanced SRM 6,CLAdvancedSRM6,,,,6,,4,8,12,16,,,,,.21,4,90,90000,,,,,,,"261, TM",CLAN,F,,3052
CLAdvancedSRM6OS,megamek.common.weapons.battleArmor.clan.advancedSRM,battleArmor,Advanced SRM 6 (OS),CLAdvancedSRM6OS,,,,6,,4,8,12,16,,,,,.195,5,18,45000,,,,,,,"261, TM",CLAN,F,,3052
CLBARecoillessRifleHeavy,megamek.common.weapons.battleArmor.clan,battleArmor,BA Recoilless Rifle (Heavy),CLBAHeavy Recoilless Rifle,Recoilless Rifle D,,3,,,3,5,7,10,,,,,0.325,3,22,5000,,,,,,,"268, TM",ALL,C,3052,
CLBARecoillessRifleLight,megamek.common.weapons.battleArmor.clan,battleArmor,BA Recoilless Rifle (Light),CLBALight Recoilless Rifle,Recoilless Rifle B,,2,,,2,4,6,8,,,,,0.175,2,12,1000,,,,,,,"268, TM",ALL,C,3052,
CLBARecoillessRifleMedium,megamek.common.weapons.battleArmor.clan,battleArmor,BA Recoilless Rifle (Medium),CLBAMedium Recoilless Rifle,Recoilless Rifle C,0,3,,,2,4,6,8,,,,,0.25,2,19,3000,,,,,,,"268, TM",ALL,C,3052,
CLBALBX,megamek.common.weapons.battleArmor.clan,battleArmor,Battle Armor LB-X AC,,,0,4,4,,2,5,8,12,,,,,0.4,2,20,70000,,,,,,,"207, TM",CLAN,F,,3075
ISBATaser,megamek.common.weapons.battleArmor.innerSphere,battleArmor,Battle Armor Taser,ISBATaser,,0,1,1,,1,2,3,4,,,,,0.3,3,15,10000,,,,,,,"158, TO:AUE",IS,E,3067,
CLBAMicroBomb,megamek.common.weapons.battleArmor.clan,battleArmor,Bomb Rack (Micro),,,0,,2,,0,0,0,0,,,,,.1,2,11,30000,,,,,,,"253, TM",CLAN,F,,3055
CLBALaserERMedium,megamek.common.weapons.battleArmor.clan.laser,battleArmor,ER Medium Laser,CLBAERMediumLaser,Laser ER C,5,7,,,5,10,15,20,3,7,10,15,.8,3,108,80000,7,7,,,Medium,,"258, TM",CLAN,F,,2872
ISBALaserERMedium,megamek.common.weapons.battleArmor.innerSphere.laser,battleArmor,ER Medium Laser,ISBAERMediumLaser,Laser ER C,5,5,,,4,8,12,16,3,5,8,12,0.8,3,62,80000,5,5,,,Medium,,"258, TM",IS,E,3055,
CLBAERPulseLaserMedium,megamek.common.weapons.battleArmor.clan.laser,battleArmor,ER Medium Pulse Laser,BACLERMediumPulseLaser,Laser Pulse ER C,6,7,,,5,9,14,21,3,5,8,12,.8,4,117,150000,,,,,,,"258, TM",CLAN,F,,
CLBALaserERMicro,megamek.common.weapons.battleArmor.clan.laser,battleArmor,ER Micro Laser,CLBAERMicroLaser,Laser ER A,1,2,,,1,2,4,6,1,2,2,2,0.15,1,7,10000,,,,,,,"258, TM",CLAN,F,,3055
CLBALaserERSmall,megamek.common.weapons.battleArmor.clan.laser,battleArmor,ER Small Laser,CLBAERSmallLaser,Laser ER B,2,5,,,2,4,6,8,1,2,4,6,0.35,2,31,11250,5,,,,Short,,"258, TM",CLAN,F,,2872
ISBALaserERSmall,megamek.common.weapons.battleArmor.innerSphere.laser,battleArmor,ER Small Laser,ISBAERSmallLaser,Laser ER B,,3,,,2,4,5,7,1,2,3,4,0.35,2,17,11250,3,,,,Short,,"258, TM",IS,E,3055,
CLBAERPulseLaserSmall,megamek.common.weapons.battleArmor.clan.laser,battleArmor,ER Small Pulse Laser,CLBAERSmallPulseLaser,Laser Pulse ER B,3,5,,,2,4,6,8,1,2,4,6,.55,2,36,30000,,,,,,,"258, TM",CLAN,F,,
CLBAFlamer,megamek.common.weapons.battleArmor.clan,battleArmor,Flamer [BA],CLBAFlamer,Flamer C,3,2,,,1,2,3,4,,,,,0.15,1,5,7500,2,,,,Short,,"255, TM",ALL,C,,2860
CLBAAPGaussRifle,megamek.common.weapons.battleArmor.clan,battleArmor,Gauss Rifle [Anti-personnel Gauss Rifle],CLBAAPGaussRifle,,1,3,,,3,6,9,12,,,,,0.2,2,21,10000,3,,,,Short,3,"255, TM",CLAN,F,,3066
ISBAGaussRifleDavidLight,megamek.common.weapons.battleArmor.innerSphere.gaussRifle,battleArmor,Gauss Rifle [David],BADavidLightGaussRifle,,,1,,,3,5,8,12,,,,,0.1,1,7,22500,,,,,,,"255, TM",IS,E,3058,
ISBAGaussRifleGrandMauler,megamek.common.weapons.battleArmor.innerSphere.gaussRifle,battleArmor,Gauss Rifle [Grand Mauler],ISBAGrandMaulerGaussCannon,,0,1,,,2,4,5,7,,,,,0.125,2,6,8000,,,,,,,"255, TM",IS,E,3055,
ISBAGaussRifleKingDavidLight,megamek.common.weapons.battleArmor.innerSphere.gaussRifle,battleArmor,Gauss Rifle [King David],ISBAKingDavidLightGaussRifle,,,1,,,3,6,9,12,,,,,0.275,2,7,30000,,,,,,,"255, TM",IS,E,3058,
ISBAGaussRifleMagshot,megamek.common.weapons.battleArmor.innerSphere.gaussRifle,battleArmor,Gauss Rifle [Magshot],ISBAMagshotGaussRifle,,,2,,,3,6,9,12,,,,,0.175,3,15,10500,,,,,,,"255, TM",IS,E,3057,
ISBAGaussRifleTsunami,megamek.common.weapons.battleArmor.innerSphere.gaussRifle,battleArmor,Gauss Rifle [Tsunami],ISBATsunamiHeavyGaussRifle,,0,1,,,2,4,5,7,,,,,0.125,2,6,9500,,,,,,,"255, TM",IS,E,3054,
CLBAGrenadeLauncherHeavy,megamek.common.weapons.battleArmor.clan,battleArmor,Grenade Launcher (Heavy),CLBAHeavyGrenadeLauncher,Grenade Launcher D,0,1,,,1,2,3,4,,,,,0.1,1,1,4500,,,,,,,"256, TM",ALL,C,,2880
ISBAGrenadeLauncherMicro,megamek.common.weapons.battleArmor.innerSphere,battleArmor,Grenade Launcher (Micro),ISBAMicroGrenadeLauncher,Grenade Launcher A,0,1,,,1,2,2,2,,,,,0.075,1,1,1950,,,,,,,"256, TM",ALL,B,,
CLBAFlamerHeavy,megamek.common.weapons.battleArmor.clan,battleArmor,Heavy Flamer [BA],CLBAHeavyFlamer,Flamer D,5,4,,,2,3,4,6,,,,,.35,1,15,11250,,,,,,,"124, TO:AUE",ALL,C,,
CLBALaserHeavyMedium,megamek.common.weapons.battleArmor.clan.laser,battleArmor,Heavy Medium Laser,CLBAHeavyMediumLaser,Laser Heavy C,7,10,,,3,6,9,12,2,4,6,8,1.0,4,76,100000,10,,,,Short,,"258, TM",CLAN,F,,3057
CLBALaserHeavySmall,megamek.common.weapons.battleArmor.clan.laser,battleArmor,Heavy Small Laser,CLBAHeavySmallLaser,Laser Heavy B,3,6,,,1,2,3,4,1,2,2,2,0.5,3,15,20000,6,,,,Short,,"258, TM",CLAN,F,,3057
CLBALRM1,megamek.common.weapons.battleArmor.clan.lrm,battleArmor,LRM 1,CLBALRM1,,0,,1,,,,,,,,,,0.035,2,17,6000,,,,,,,"261, TM",CLAN,F,,3058
ISBALRM1,megamek.common.weapons.battleArmor.innerSphere.lrm,battleArmor,LRM 1,ISBALRM1,,,,1,6,,,,,,,,,.06,2,14,6000,,,,,,,"261, TM",IS,E,3055,
CLBALRM1OS,megamek.common.weapons.battleArmor.clan.lrm,battleArmor,LRM 1 (OS),CLBALRM1OS,,0,,1,,,,,,,,,,0.025,2,3,3000,,,,,,,"261, TM",CLAN,F,,3058
ISBALRM1OS,megamek.common.weapons.battleArmor.innerSphere.lrm,battleArmor,LRM 1 (OS),ISBALRM1OS,,,,1,6,,,,,,,,,.04,3,3,3000,,,,,,,"261, TM",IS,E,3055,
CLBALRM2,megamek.common.weapons.battleArmor.clan.lrm,battleArmor,LRM 2,CLBALRM2,,0,,2,,,,,,,,,,0.07,2,24,12000,,,,,,,"261, TM",CLAN,F,,3058
ISBALRM2,megamek.common.weapons.battleArmor.innerSphere.lrm,battleArmor,LRM 2,ISBALRM2,,,,2,6,,,,,,,,,.12,2,20,12000,,,,,,,"261, TM",IS,E,3055,
CLBALRM2OS,megamek.common.weapons.battleArmor.clan.lrm,battleArmor,LRM 2 (OS),CLBALRM2OS,,0,,2,,,,,,,,,,0.05,2,5,6000,,,,,,,"261, TM",CLAN,F,,3058
ISBALRM2OS,megamek.common.weapons.battleArmor.innerSphere.lrm,battleArmor,LRM 2 (OS),ISBALRM2OS,,,,2,6,,,,,,,,,.08,3,4,6000,,,,,,,"261, TM",IS,E,3055,
CLBALRM3,megamek.common.weapons.battleArmor.clan.lrm,battleArmor,LRM 3,CLBALRM3,,0,,3,,,,,,,,,,0.105,3,34,18000,,,,,,,"261, TM",CLAN,F,,3058
ISBALRM3,megamek.common.weapons.battleArmor.innerSphere.lrm,battleArmor,LRM 3,ISBALRM3,,,,3,6,,,,,,,,,.180,3,29,18000,,,,,,,"261, TM",IS,E,3055,
CLBALRM3OS,megamek.common.weapons.battleArmor.clan.lrm,battleArmor,LRM 3 (OS),CLBALRM3OS,,0,,3,,,,,,,,,,0.075,3,7,9000,,,,,,,"261, TM",CLAN,F,,3058
ISBALRM3OS,megamek.common.weapons.battleArmor.innerSphere.lrm,battleArmor,LRM 3 (OS),ISBALRM3OS,,,,3,6,,,,,,,,,.12,4,6,9000,,,,,,,"261, TM",IS,E,3055,
CLBALRM4,megamek.common.weapons.battleArmor.clan.lrm,battleArmor,LRM 4,CLBALRM4,,0,,4,,,,,,,,,,0.140,3,46,24000,,,,,,,"261, TM",CLAN,F,,3058
ISBALRM4,megamek.common.weapons.battleArmor.innerSphere.lrm,battleArmor,LRM 4,ISBALRM4,,,,4,6,,,,,,,,,.240,3,38,12000,,,,,,,"261, TM",IS,E,3055,
CLBALRM4OS,megamek.common.weapons.battleArmor.clan.lrm,battleArmor,LRM 4 (OS),CLBALRM4OS,,0,,4,,,,,,,,,,0.1,3,9,12000,,,,,,,"261, TM",CLAN,F,,3058
ISBALRM4OS,megamek.common.weapons.battleArmor.innerSphere.lrm,battleArmor,LRM 4 (OS),ISBALRM4OS,,,,4,6,,,,,,,,,.16,5,8,12000,,,,,,,"261, TM",IS,E,3055,
CLBALRM5,megamek.common.weapons.battleArmor.clan.lrm,battleArmor,LRM 5,CLBALRM5,,2,,5,,,,,,,,,,.175,4,55,30000,,,,,,,"261, TM",CLAN,F,,3058
ISBALRM5,megamek.common.weapons.battleArmor.innerSphere.lrm,battleArmor,LRM 5,ISBALRM5,,2,,5,6,,,,,,,,,.300,4,45,30000,,,,,,,"261, TM",IS,E,3055,
CLBALRM5OS,megamek.common.weapons.battleArmor.clan.lrm,battleArmor,LRM 5 (OS),CLBALRM5 (OS),,2,,5,,,,,,,,,,.125,3,11,15000,,,,,,,"261, TM",CLAN,F,,3058
ISBALRM5OS,megamek.common.weapons.battleArmor.innerSphere.lrm,battleArmor,LRM 5 (OS),ISBALRM5OS,,2,,5,6,,,,,,,,,.2,5,9,18000,,,,,,,"261, TM",IS,E,3055,
ISBAMRM1,megamek.common.weapons.battleArmor.innerSphere.mrm,battleArmor,MRM 1,ISBAMRM1,,,,1,,3,8,15,22,,,,,.06,1,9,5000,,,,,,,"261, TM",IS,E,3058,
ISBAMRM1OS,megamek.common.weapons.battleArmor.innerSphere.mrm,battleArmor,MRM 1 (OS),ISBAMRM1OS,,,,1,,3,8,15,22,,,,,.05,2,2,2500,,,,,,,"261, TM",IS,E,3058,
ISBAMRM2,megamek.common.weapons.battleArmor.innerSphere.mrm,battleArmor,MRM 2,ISBAMRM2,,,,2,,3,8,15,22,,,,,.12,2,9,10000,,,,,,,"261, TM",IS,E,3058,
ISBAMRM2OS,megamek.common.weapons.battleArmor.innerSphere.mrm,battleArmor,MRM 2 (OS),ISBAMRM2OS,,,,2,,3,8,15,22,,,,,.1,2,3,5000,,,,,,,"261, TM",IS,E,3058,
